Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
PrizePicks,MLB,127166,Andrew Benintendi,DH,CWS,Hitter Fantasy Score,8.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Andrew_Benintendi_MLB_player_gS0XOOhPqt5xrsBUNxHk03Qx-450.webp,13785572,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.970,,,,No,CHWDET,4.97,2.6,42.76921511,57.23078489,42.76921511,4.97,,0,,5.93,,5.45,-0.18,Push
PrizePicks,MLB,314332,Hao-Yu Lee,IF,DET,Hitter Fantasy Score,7.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Hao-Yu_Lee_MLB_player_ONUIjTJa25Ie4bRMnkOkdIMT-450.webp,13785539,,,,,,Push,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,,,,,No,,,3.5,,,,5.5,,0,,7,,6,5.5,Push
PrizePicks,MLB,235491,Chase Meidroth,IF,CWS,Hitter Fantasy Score,7.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Chase_Meidroth_MLB_player_3aJAUSt5N14MCI2tnJjUQKgl-450.webp,13785542,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.620,,,,No,CHWDET,4.62,1.98,43.27997369,56.72002631,43.27997369,4.62,,0,,4.42,,4.52,-0.23,Push
PrizePicks,MLB,68434,Spencer Torkelson,IF,DET,Hitter Fantasy Score,7.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Spencer_Torkelson_MLB_player_TqH00BJfzWjKPIVJLtWXHNMc-450.webp,13785548,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.920,,,,No,CWS,5.92,2.67,45.75135767,54.24864233,45.75135767,5.92,23,-0.01522,under,6.01,5.904781,5.99,6.14,Push
PrizePicks,MLB,310369,Tristan Peters,OF,CWS,Hitter Fantasy Score,7.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Tristan_Peters.png,13785566,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.660,,,,No,CHWDET,4.66,2.32,43.33912655,56.66087345,43.33912655,4.66,,0,,5.29,,4.97,-0.12,Push
PrizePicks,MLB,325368,Ben Malgeri,OF,DET,Hitter Fantasy Score,6.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/BenMalgeri.webp,13785536,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.980,,,,No,CWS,4.98,2.36,45.58163281,54.41836719,45.58163281,4.98,23,-0.01345,under,6.37,4.966548,5.44,-0.26,Push
PrizePicks,MLB,314184,Sam Antonacci,OF,CWS,Hitter Fantasy Score,6.5,N/A,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,standard,https://static.prizepicks.com/images/manual/Sam_Antonacci.png,13785556,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,5.840,,,,No,CHWDET,5.84,2.56,49.15384615,50.84615385,50.84615385,5.84,,0,,6.17,,5.96,5.33,Push
PrizePicks,MLB,67494,Javier Báez,IF,DET,Hitter Fantasy Score,6.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/players/MLB/Ednel_B%C3%A1ez_MLB_player_XE8WbMUUxkOKtOb0OUgFCdaV-450.webp,13785575,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.370,,,,No,CWS,4.37,1.82,44.21105268,55.78894732,44.21105268,4.37,23,-0.01037,under,3.57,4.359626,3.09,0.07,Push
PrizePicks,MLB,330812,Max Clark,OF,DET,Hitter Fantasy Score,6.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Max Clark.png,13785578,,,,,,Under,,2026-08-15T17:10:00Z,Yes,-1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,4.940,,,,No,CWS,4.94,2.28,45.48494764,54.51505236,45.48494764,4.94,23,-0.013,under,4.99,4.927004,4.95,-0.22,Push
PrizePicks,MLB,315527,Drew Romo,C,CWS,Hitter Fantasy Score,6.5,TRUE,N/A,8/15/2026,5:46:36 AM,pre_game,MLB,demon,https://static.prizepicks.com/images/manual/Drew Romo.png,13785581,,,,,,Under,,2026-08-15T17:10:00Z,No,1.5,7.8,White Sox @ Tigers,2026-08-15T17:10:00Z,Sat 01:10pm,Comerica Park,outdoor,,,,,3.510,,,,No,CHWDET,3.51,1.72,42.76769724,57.23230276,42.76769724,3.51,,0,,2.67,,2.08,0.05,Push
