Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,PrizePicks Line,Callout Bet Tag
Underdog,MLB,,Francisco Lindor,SS,,Doubles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260407_15-98d3d7c1-16bb-490c-8e03-73567efdbabf.png,,0.5,18.1,81.9,-6.2,81.9,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-452.00,-452,7/30/2026,0.181,,,,No,,,3.5,28.85854734,71.14,28.85854734,0.18,,0,,0.18,,0.29,0.5,Push
Underdog,MLB,,Kyle Stowers,1B,,Hits + Runs + RBIs,1.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,1.5,44.04,55.96,,57.81,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-137.00,-137,7/30/2026,1.3212,,,,No,,,3.5,38.06691802,61.93,38.06691802,1.32,,0,,1.32,,1.32,0,Push
Underdog,MLB,,Kyle Stowers,1B,,Home Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,16.01,83.99,-0.77,83.99,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-525.00,-525,7/30/2026,0.1601,,,,No,,,3.5,28.11122119,71.89,28.11122119,0.16,,0,,0.16,,0.27,0.5,Push
Underdog,MLB,,Kyle Stowers,1B,,Hitter Fantasy Score,5.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,,,,,,,,,,,,Marlins @ Mets,2026-07-30T23:10:00Z,7/30/2026,Citi Field,outdoor,,,,,,,,,No,,,3.5,,,,0.00,,0,,8.16,,5.33,2.5,Push
Underdog,MLB,,Kyle Stowers,1B,,Hits,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,56.2,43.8,-1.25,56.2,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-128.00,-128,7/30/2026,0.562,,,,No,,,3.5,41.19833411,58.80,41.19833411,0.56,,0,,0.56,,0.54,0.5,Good Bet
Underdog,MLB,,Kyle Stowers,1B,,Runs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,38.7,61.3,-1.94,61.3,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-158.00,-158,7/30/2026,0.387,,,,No,,,3.5,35.82137663,64.18,35.82137663,0.39,,0,,0.39,,0.42,0.5,Push
Underdog,MLB,,Kyle Stowers,1B,,RBIs,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,32.2,67.8,-7.2,67.8,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-211.00,-211,7/30/2026,0.322,,,,No,,,3.5,33.70130684,66.30,33.70130684,0.32,,0,,0.32,,0.38,0.5,Push
Underdog,MLB,,Kyle Stowers,1B,,Singles,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,39.1,60.9,-5.77,60.9,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-156.00,-156,7/30/2026,0.391,,,,No,,,3.5,35.9496056,64.05,35.9496056,0.39,,0,,0.39,,0.43,0.5,Push
Underdog,MLB,,Kyle Stowers,1B,,Batter Strikeouts,1.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,1.5,51.46,48.54,,57.81,Over,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-137.00,-137,7/30/2026,1.5438,,,,No,,,3.5,45.67257239,54.33,45.67257239,1.54,,0,,1.54,,1.54,0,Great Bet
Underdog,MLB,,Kyle Stowers,1B,,Batter Walks,0.5,,,7/30/2026,7/30/2026,pre_game,MLB,standard,https://assets.underdogfantasy.com/player-images/mlb/20260323_23-8b18ec16-c092-464c-b001-1b3028641eb6.png,,0.5,39.34,60.66,-9.04,60.66,Under,https://www.freeiconspng.com/img/1934,,Yes,-1.40,8.5,Marlins @ Mets,2026-07-30T23:10:00Z,Thu 07:10pm,Citi Field,outdoor,,-154.00,-154,7/30/2026,0.3934,,,,No,,,3.5,32.52412099,67.48,32.52412099,0.39,,0,,0.39,,0.39,0,Push
